article_name,is_good,view_count
"Dave Hull (disambiguation)",0,0
"2018–19 Pro Basketball League",0,2.0
"Raja Singh College, Siwan",0,1.8666666666666667
"1929 Middle Tennessee Blue Raiders football",0,0
"2007 Men's World Ice Hockey Championships",0,4.033898305084746
"2011 Harrisburg Pennsylvania bankruptcy",0,1.0
"1999–2000 Boston Bruins season",0,2.411764705882353
"List of AMD Sempron processors",0,0
"Porter Township, Delaware County, Ohio",0,1.8285714285714285
"Cercospora purpurea",0,0
"(488644) 2003 HY56",0,0
"Căuşeni County, Moldova",0,0
"Academy of Military Science (People's Republic of China)",0,1.4
"Bibliography of the western apache",0,0
"TCU Horned Frogs football, 1994",0,0
"Şıxtoraşen",0,0
"Legislative Assembly of Upper Canada",0,11.35
"2001 Italian Grand Prix",0,38.333333333333336
"UN/LOCODE:CLSCL",0,1.0
"Patrick Darcy (disambiguation)",0,1.3333333333333333
"Economic history of Turkey",0,53.016666666666666
"Loxocemus bicolor sumichrasti",0,0
"List of prequel films",0,1.9090909090909092
"1930 Colorado gubernatorial election",0,2.7083333333333335
"Turtle Lake (Grant County, Minnesota)",0,1.1818181818181819
"Synersaga mondulkiriensis",0,1.2352941176470589
"Andrew Ellis (disambiguation)",0,1.3333333333333333
"Depressaria pentheri",0,1.125
"Rydalmere ferry wharf, Sydney",0,0
"Sri Lankan cricket team against New Zealand in New Zealand in 2015–16",0,0
"SR 426 (NV)",0,0
"1932–33 Segunda Division",0,0
"SM U-69",0,2.9245283018867925
"Leonardo da Vinci's relationships",0,0
"WCAU-TV10",0,1.0
"Kraljevina Srba, Hrvata i Slovenaca",0,1.3333333333333333
"LIBID",0,1.4482758620689655
"Association for behavioral and cognitive therapies",0,0
"Clear plastic raincoat",0,0
"Ping pong ball",0,2.767857142857143
"Veterans Memorial Park (Beaverton, Oregon)",0,1.2222222222222223
"Icarus (plant)",0,3.425925925925926
"Bob's Burgers (season 4)",0,35.53333333333333
"Art of Conflict: The Murals of Northern Ireland",0,6.0
"68330",0,0
"Gott ist unsre Zuversicht, BWV 197",0,2.375
"Dustin (Stranger Things)",0,1.5
"Ölziit, Arkhangai",0,1.71875
"Disneyland's 50th anniversary celebration",0,0
"Elaphropus nannodes",0,1.0
"Heat stroke",0,319.28333333333336
"State Route 518 (Virginia pre-1933)",0,0
"Film projector",0,5.5
"Swiss referendums, 1951",0,0
"2013-2014 PGA Tour",0,1.0
"Vest, KY",0,1.0
"Bordolano, Italy",0,0
"List of institutions of higher education in Andhra Pradesh",0,72.46666666666667
"List of German-language poets",0,13.55
"List of volcanoes in South Africa",0,44.75
"Pachycondyla chinensis",0,2.0
"The History of Science Society",0,1.1666666666666667
"Circumference of Earth",0,1.8780487804878048
"1964 Miami Hurricanes football",0,0
"HMS Loch Achray (F426)",0,0
"Socialist Labor party (Australia)",0,0
"Swiss Super League 1915-16",0,0
"Mytholmroyd, West Yorkshire",0,1.2
"Female comics creators",0,9.066666666666666
"New Grand Chain, Illinois",0,8.05
"Kunice, Swietokrzyskie Voivodeship",0,0
"State Route 239 (Virginia 1933-1941)",0,0
"USS Hazelwood (DD-107)",0,2.2653061224489797
"1873 Lyttelton by-election",0,1.0
"Virginia State Route 784 (Loudoun County)",0,0
"2001 British Touring Car Championship",0,18.65
"2020 Alabama Crimson Tide softball team",0,1.411764705882353
"1863 in New Zealand",0,2.0416666666666665
"List of 2015 Indian Premier League personnel changes",0,21.616666666666667
"ASCII hexadecimal file",0,0
"Saint-Laurent Dragons",0,1.3
"2001–02 Second League of FR Yugoslavia",0,2.324324324324324
"NY-11",0,1.6
"Extended Tamil script",0,7.237288135593221
"Harlan Township, Warren County, Ohio",0,2.119047619047619
"3150 BC",0,1.6
"Central nervous system viral diseases",0,0
"1985 US Open - Women's Singles Qualifying",0,0
"2013-14 Iowa State Cyclones women's basketball team",0,1.0
"Harrison Township, Perry County, Ohio",0,1.8857142857142857
"Polish Parliament",0,3.2203389830508473
"Life Church, Edinburgh",0,4.258064516129032
"Davidson College, NC",0,1.2222222222222223
"Railroad weigh scale",0,4.0
"Átahsaia",0,57.78333333333333
"Beijing Municipal public security bureau",0,0
"Eunidia rondoni",0,1.1666666666666667
"1968–69 Macedonian Football League",0,0
"2017–18 Sydney FC season",0,4.654545454545454
"ATCvet code QG03FB",0,0
"1967 Arkansas Razorbacks football team",0,2.9272727272727272
"2003 Louisiana governor election",0,0
"Finnish parliamentary election, 1907",0,1.0
"Urșița (river)",0,0
"United States - Zimbabwe relations",0,1.0
"Rastafari and cannabis",0,1.875
"Chief Operating Officer",0,76.95
"Scopula subgastonaria",0,0
"Pimephales vigilax",0,1.15
"Generation-Set",0,0
"HIG-2",0,0
"List of email clients",0,2.5
"Vărădia de Mureş, Arad",0,0
"Spinoblesthis acuta",0,1.0
"549th Tactical Air Support Training Squadron",0,1.0
"Kievitone-hydrate hydro-lyase (kievitone-forming)",0,0
"Applied Physics Reviews",0,7.169491525423729
"Protein-protein interactions",0,1.3666666666666667
"Moonwalk (album)",0,1.6571428571428573
"Resident Evil (2002 video game)",1,659.6
"Heinz Rehfuss",1,2.297872340425532
"Clarence Barton",1,1.1764705882352942
"Daddy's Hands (band)",1,6.241379310344827
"Yasovarman",1,2.3684210526315788
